seed;algname;m;instance;n;nevals;millis;sol_set;fit_set;n_local_optima
3;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51372384;619;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
1;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51163056;624;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7;353109,353109,353102,353102,353086;20000
5;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51177168;626;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
4;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51165408;628;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
8;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51243024;621;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
6;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51087792;629;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
7;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51200688;632;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
2;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51139536;632;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
9;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51294768;629;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
10;MS-MA-EDM;5;exiobase/rxr/rxr_2009_n49;49;51043104;631;28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 29 30 5 10 27 33 36 48 44 15 37 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 2 19 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 32 34 47 33 45 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7,28 30 5 10 27 36 48 29 44 15 37 33 32 34 45 47 20 8 38 35 31 39 21 40 24 41 14 1 0 42 4 11 6 9 46 22 26 13 17 43 23 25 12 19 2 16 3 18 7;353109,353109,353102,353102,353086;20000
